date,London mortgage,London house prices,isPartial
2017-12-31,64,79,False
2018-01-07,60,70,False
2018-01-14,66,68,False
2018-01-21,65,72,False
2018-01-28,68,67,False
2018-02-04,71,75,False
2018-02-11,63,75,False
2018-02-18,71,67,False
2018-02-25,53,58,False
2018-03-04,64,75,False
2018-03-11,63,81,False
2018-03-18,61,73,False
2018-03-25,59,81,False
2018-04-01,66,72,False
2018-04-08,60,80,False
2018-04-15,66,80,False
2018-04-22,62,69,False
2018-04-29,61,64,False
2018-05-06,53,75,False
2018-05-13,56,63,False
2018-05-20,57,71,False
2018-05-27,54,66,False
2018-06-03,49,71,False
2018-06-10,46,65,False
2018-06-17,48,63,False
2018-06-24,50,72,False
2018-07-01,44,56,False
2018-07-08,52,65,False
2018-07-15,65,71,False
2018-07-22,55,72,False
2018-07-29,65,77,False
2018-08-05,58,73,False
2018-08-12,54,79,False
2018-08-19,53,62,False
2018-08-26,54,82,False
2018-09-02,52,63,False
2018-09-09,52,78,False
2018-09-16,54,88,False
2018-09-23,56,76,False
2018-09-30,49,71,False
2018-10-07,57,60,False
2018-10-14,47,68,False
2018-10-21,54,67,False
2018-10-28,50,63,False
2018-11-04,56,62,False
2018-11-11,52,72,False
2018-11-18,38,76,False
2018-11-25,47,69,False
2018-12-02,41,56,False
2018-12-09,40,58,False
2018-12-16,39,57,False
2018-12-23,40,61,False
2018-12-30,55,72,False
2019-01-06,58,66,False
2019-01-13,58,62,False
2019-01-20,55,62,False
2019-01-27,56,60,False
2019-02-03,58,59,False
2019-02-10,66,61,False
2019-02-17,58,69,False
2019-02-24,54,60,False
2019-03-03,52,53,False
2019-03-10,56,62,False
2019-03-17,51,49,False
2019-03-24,55,55,False
2019-03-31,50,59,False
2019-04-07,53,56,False
2019-04-14,46,67,False
2019-04-21,52,55,False
2019-04-28,55,52,False
2019-05-05,55,56,False
2019-05-12,55,58,False
2019-05-19,55,67,False
2019-05-26,54,58,False
2019-06-02,55,55,False
2019-06-09,52,50,False
2019-06-16,56,51,False
2019-06-23,52,51,False
2019-06-30,47,53,False
2019-07-07,59,56,False
2019-07-14,52,82,False
2019-07-21,52,60,False
2019-07-28,54,55,False
2019-08-04,52,63,False
2019-08-11,54,59,False
2019-08-18,55,59,False
2019-08-25,54,59,False
2019-09-01,49,61,False
2019-09-08,52,63,False
2019-09-15,52,52,False
2019-09-22,49,52,False
2019-09-29,53,60,False
2019-10-06,49,58,False
2019-10-13,51,52,False
2019-10-20,50,52,False
2019-10-27,45,46,False
2019-11-03,54,49,False
2019-11-10,52,53,False
2019-11-17,50,41,False
2019-11-24,57,45,False
2019-12-01,43,43,False
2019-12-08,41,48,False
2019-12-15,47,50,False
2019-12-22,42,51,False
2019-12-29,58,62,False
2020-01-05,60,50,False
2020-01-12,65,58,False
2020-01-19,62,68,False
2020-01-26,60,56,False
2020-02-02,66,55,False
2020-02-09,65,53,False
2020-02-16,66,56,False
2020-02-23,58,55,False
2020-03-01,55,50,False
2020-03-08,60,57,False
2020-03-15,66,63,False
2020-03-22,37,58,False
2020-03-29,42,57,False
2020-04-05,41,59,False
2020-04-12,44,69,False
2020-04-19,43,48,False
2020-04-26,44,60,False
2020-05-03,49,63,False
2020-05-10,53,68,False
2020-05-17,61,73,False
2020-05-24,68,76,False
2020-05-31,59,70,False
2020-06-07,64,59,False
2020-06-14,69,63,False
2020-06-21,59,55,False
2020-06-28,68,54,False
2020-07-05,79,62,False
2020-07-12,72,71,False
2020-07-19,72,59,False
2020-07-26,67,58,False
2020-08-02,61,59,False
2020-08-09,57,60,False
2020-08-16,64,57,False
2020-08-23,63,64,False
2020-08-30,60,60,False
2020-09-06,62,54,False
2020-09-13,60,62,False
2020-09-20,51,46,False
2020-09-27,61,58,False
2020-10-04,61,57,False
2020-10-11,50,44,False
2020-10-18,55,47,False
2020-10-25,51,43,False
2020-11-01,44,42,False
2020-11-08,49,48,False
2020-11-15,49,46,False
2020-11-22,46,38,False
2020-11-29,51,44,False
2020-12-06,52,45,False
2020-12-13,47,38,False
2020-12-20,44,42,False
2020-12-27,62,62,False
2021-01-03,47,49,False
2021-01-10,62,44,False
2021-01-17,53,47,False
2021-01-24,52,45,False
2021-01-31,56,45,False
2021-02-07,50,51,False
2021-02-14,49,58,False
2021-02-21,61,51,False
2021-02-28,80,50,False
2021-03-07,66,45,False
2021-03-14,60,49,False
2021-03-21,50,54,False
2021-03-28,59,55,False
2021-04-04,65,50,False
2021-04-11,57,50,False
2021-04-18,59,48,False
2021-04-25,53,49,False
2021-05-02,51,55,False
2021-05-09,47,59,False
2021-05-16,47,42,False
2021-05-23,49,46,False
2021-05-30,53,51,False
2021-06-06,55,53,False
2021-06-13,42,42,False
2021-06-20,53,51,False
2021-06-27,52,43,False
2021-07-04,43,41,False
2021-07-11,47,47,False
2021-07-18,40,43,False
2021-07-25,47,47,False
2021-08-01,44,53,False
2021-08-08,53,46,False
2021-08-15,55,52,False
2021-08-22,47,48,False
2021-08-29,42,42,False
2021-09-05,51,49,False
2021-09-12,50,54,False
2021-09-19,52,40,False
2021-09-26,40,58,False
2021-10-03,45,51,False
2021-10-10,48,44,False
2021-10-17,47,46,False
2021-10-24,48,36,False
2021-10-31,43,43,False
2021-11-07,41,44,False
2021-11-14,41,37,False
2021-11-21,35,35,False
2021-11-28,37,39,False
2021-12-05,32,35,False
2021-12-12,40,37,False
2021-12-19,35,38,False
2021-12-26,45,46,False
2022-01-02,69,55,False
2022-01-09,72,56,False
2022-01-16,60,49,False
2022-01-23,70,55,False
2022-01-30,65,58,False
2022-02-06,65,53,False
2022-02-13,63,56,False
2022-02-20,54,57,False
2022-02-27,55,46,False
2022-03-06,65,53,False
2022-03-13,61,48,False
2022-03-20,67,59,False
2022-03-27,63,55,False
2022-04-03,61,57,False
2022-04-10,58,58,False
2022-04-17,61,54,False
2022-04-24,68,56,False
2022-05-01,63,57,False
2022-05-08,61,57,False
2022-05-15,60,61,False
2022-05-22,61,55,False
2022-05-29,54,60,False
2022-06-05,68,51,False
2022-06-12,67,61,False
2022-06-19,75,63,False
2022-06-26,68,65,False
2022-07-03,69,53,False
2022-07-10,47,53,False
2022-07-17,63,53,False
2022-07-24,63,49,False
2022-07-31,72,60,False
2022-08-07,77,59,False
2022-08-14,76,71,False
2022-08-21,77,78,False
2022-08-28,62,63,False
2022-09-04,56,56,False
2022-09-11,69,55,False
2022-09-18,65,61,False
2022-09-25,97,69,False
2022-10-02,100,75,False
2022-10-09,78,75,False
2022-10-16,85,60,False
2022-10-23,62,62,False
2022-10-30,68,85,False
2022-11-06,61,46,False
2022-11-13,59,55,False
2022-11-20,50,40,False
2022-11-27,46,45,False
2022-12-04,49,60,False
2022-12-11,52,53,False
2022-12-18,48,54,False
2022-12-25,48,51,False
